1;4;0;0;2;0;5;2;1;0;1;5;4;5;3;2;3;3;2;2;0;2;3;3;1;4;2;4;2;5;4;1;4;3;c1
2;1;5;1;3;0;3;3;4;5;0;1;4;4;2;0;4;0;3;2;0;5;5;0;4;0;4;1;4;2;1;2;5;2;c2
3;5;2;1;1;0;5;2;3;5;4;1;1;0;3;1;3;2;5;5;0;4;0;3;3;1;2;2;5;0;3;5;1;1;c3
4;0;1;5;5;3;3;0;1;3;1;3;2;3;1;0;5;5;4;0;5;0;2;2;3;2;1;3;2;0;0;5;4;0;c4
5;5;0;0;4;4;0;1;4;5;0;2;3;3;2;3;5;5;0;3;0;0;3;5;3;3;1;3;1;1;4;4;2;0;c5
6;4;0;3;3;0;0;1;0;2;2;5;5;0;3;4;1;1;5;3;0;2;1;3;5;0;2;0;0;5;3;1;1;3;c6
7;3;0;0;3;4;3;0;5;3;0;0;1;3;2;0;3;4;2;2;5;3;3;1;0;0;2;0;4;1;1;5;3;5;c7
8;4;2;2;4;1;2;4;3;1;5;4;2;0;4;3;3;1;3;2;5;4;1;1;2;0;2;2;5;2;4;5;2;4;c8
9;3;3;3;2;4;3;3;3;0;5;4;5;2;3;4;2;5;5;3;0;3;5;0;3;0;3;3;1;0;2;0;3;2;c9
10;1;5;0;5;5;4;1;2;5;3;3;1;2;1;3;0;4;5;0;2;4;4;2;2;5;0;2;4;5;2;5;1;0;c10
11;5;1;3;0;5;0;0;2;2;0;2;4;1;2;4;5;1;5;0;5;1;5;0;4;0;1;0;3;4;5;1;4;4;c1
12;0;2;3;3;4;0;4;3;3;4;3;0;3;5;1;4;2;1;5;4;4;5;3;0;3;0;5;3;5;1;3;1;0;c2
13;0;4;4;4;2;3;4;1;2;1;3;4;4;5;2;1;2;4;2;0;3;0;1;2;2;3;0;5;3;3;1;3;5;c3
14;0;5;4;3;4;1;4;1;2;4;3;1;3;4;3;0;2;4;4;3;5;4;3;3;0;4;3;3;2;4;2;3;5;c4
15;4;1;5;5;0;0;1;4;5;0;4;1;2;5;4;5;1;4;4;4;1;2;2;1;3;2;5;5;1;3;4;3;5;c5
16;3;5;2;5;2;2;1;5;3;3;4;1;5;4;5;4;1;1;4;4;1;1;3;3;2;0;5;1;2;0;1;5;2;c6
17;5;4;4;5;4;5;1;4;2;4;4;4;3;4;5;4;3;0;3;5;5;4;5;3;3;5;3;0;4;5;1;2;2;c7
18;3;0;1;1;4;1;2;1;0;4;0;2;2;5;3;0;0;5;5;2;3;0;4;4;0;1;5;2;3;3;5;3;2;c8
19;3;1;4;0;1;0;5;3;4;1;4;1;5;5;0;3;1;1;0;1;5;5;2;2;4;1;1;1;5;0;3;3;2;c9
20;4;1;3;5;0;1;3;2;0;4;2;5;3;1;5;4;4;1;1;2;5;0;1;3;3;5;5;0;5;4;0;5;0;c10
21;1;3;3;3;2;4;2;0;1;5;1;5;2;4;3;2;5;5;3;1;2;1;3;5;0;0;2;1;4;3;4;3;3;c1
22;1;1;4;4;0;4;1;3;1;4;5;4;0;5;1;0;0;3;4;2;5;4;5;4;0;5;5;2;1;1;2;0;4;c2
23;2;5;1;3;3;1;0;1;3;2;3;1;4;0;3;4;0;2;1;0;0;1;5;4;5;4;2;2;2;5;1;3;3;c3
24;1;3;5;1;4;4;5;1;0;3;2;0;1;2;3;4;2;5;4;5;2;3;0;0;2;3;4;2;1;4;0;3;4;c4
25;3;2;4;2;4;4;3;5;2;2;4;0;2;5;0;2;4;5;3;4;4;3;1;1;4;3;0;1;2;4;5;1;5;c5
26;1;3;3;1;3;2;3;2;0;5;1;4;1;4;2;4;5;5;3;5;1;5;3;3;3;3;2;3;5;1;4;3;4;c6
27;0;2;5;5;1;3;3;2;0;5;1;1;0;3;2;3;2;1;0;3;5;0;4;2;5;1;1;1;1;0;4;4;4;c7
28;0;1;0;1;2;3;2;0;3;3;3;5;3;4;3;3;0;0;2;5;0;2;3;1;3;5;3;4;2;4;3;4;3;c8
29;0;2;5;5;1;1;1;1;3;3;5;2;2;5;4;0;0;0;0;3;5;4;1;0;4;3;1;3;2;0;2;1;0;c9
30;0;2;4;0;1;4;5;3;1;5;1;2;0;2;5;1;0;1;2;2;2;1;2;2;2;5;2;2;5;5;4;4;4;c10
31;4;4;2;4;2;4;5;0;1;0;4;0;2;1;1;3;5;1;3;0;1;4;3;2;0;2;0;1;0;4;1;2;0;c1
32;1;5;0;3;0;5;1;1;1;4;3;0;3;4;3;2;2;3;2;3;2;4;1;3;3;4;5;0;3;3;1;0;2;c2
33;1;5;5;2;2;0;5;0;0;2;5;1;5;3;3;5;5;3;0;4;4;4;3;3;1;4;4;3;5;3;1;2;3;c3
34;5;0;1;1;4;0;1;2;3;5;1;2;3;0;1;5;2;1;5;5;5;2;1;3;4;0;1;2;4;1;3;4;0;c4
35;4;5;0;3;4;5;1;2;2;3;0;5;5;1;2;1;5;3;0;2;0;3;0;1;0;5;0;2;5;4;0;5;0;c5
36;1;3;3;5;5;2;2;0;2;1;4;5;3;5;2;0;0;2;3;2;3;5;3;4;3;1;1;2;4;3;1;3;3;c6
37;5;2;5;1;3;2;3;4;2;0;5;0;1;3;3;4;1;0;1;5;0;4;3;3;2;4;2;5;4;2;1;1;4;c7
38;2;3;0;5;2;4;0;0;1;4;1;1;1;1;1;2;1;0;5;2;5;2;5;1;1;5;5;4;1;5;1;0;4;c8
39;2;3;2;3;2;0;4;0;5;3;2;3;1;1;4;5;1;2;2;4;0;5;2;3;2;3;1;5;2;1;5;3;5;c9
40;0;0;3;5;1;5;3;3;0;5;1;1;0;2;5;1;4;2;2;4;5;4;4;2;1;5;1;2;4;4;4;0;3;c10
41;2;0;0;5;5;0;4;2;4;3;3;5;0;5;3;0;2;3;4;1;5;1;1;2;2;5;2;3;4;3;0;0;1;c1
42;2;5;3;2;4;5;1;2;5;4;1;1;2;0;3;1;4;2;4;0;2;3;2;2;3;3;2;0;5;2;4;4;1;c2
43;2;4;2;0;4;3;0;3;4;1;5;4;2;0;4;2;0;0;1;1;0;4;2;0;0;5;4;0;3;1;2;3;4;c3
