1;5;5;5;5;1,5;5;1;5;2;1,5;0;2;2;2;3,5;0;1;0;1;0;0;0;4;1;0;0;0;0;0;0;0;0;0;c1
2;5;5;5;5;1;5;5;5;0;5;5;3;5;5;4;0;0;0;0;0;0;0;5;3,5;5;2;0;3;0,5;0;0;0;0;c2
3;3;3;5;3;0,5;5;0;2,5;3;2,5;1;3,5;0;0;0;2,5;4;1;5;0;0;0;2;0;0;0;0;0;0;0;0;0;0;c3
4;5;5;5;0;2,5;5;0;2;0;3;0;3;1;0;0;0;0;0;2;0;0;0;4;3,5;1;1;0;0,5;0;4;5;5;5;c4
5;3;5;1;3;1;0;0;2;0;2,5;0;3;0;0;0,5;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;c5
6;3;5;5;0;1,5;5;0;5;0;3;4;0,5;3;0;4;0;0;0;0;0;0;0;4;4;3;0;2;1;0;0;0;0;0;c6
7;5;5;5;5;1;5;0;5;1;3;0;0;0;0;4,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;c7
8;3;5;2;5;0,5;0;0;2;3;3;0;3;0;0;0,5;0;1;0;1;0;0;0;0;3;3;0;0;0;0;0;0;0;0;c8
9;5;3;5;5;0,5;5;0;2;0;1;2;3;0;0;1;0;0;0;0;0;0;0;3;3;0;0;0;5;1;3;5;5;0;c9
10;3;5;5;0;1,5;5;0;1;0;4;0;3,5;0;0;0,5;0,5;0;0;0;0;0;0;3,5;1,5;0;0;0,5;0;0;0;0;0;0;c10
11;3;5;5;5;4;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;c1
12;0;3;1;5;0;0;0;3;0;0;0;0;0;0;2,5;0;0;0;5;0;0;0;5;3;0;0;0;3;0;3;5;3;2;c2
13;5;4;5;5;0;5;0;4;0;3;5;3,5;2;0;4;1;2;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;c3
14;5;2;5;2;1,5;5;0;1;0;4;5;3;0;0;3,5;0;0;0;0;0;0;0;5;3,5;0;0;0;0;0;0;0;0;0;c4
15;5;5;3;0;0,5;2;0;3;2;3,5;0;1,5;0;0;0;0;0;0;0;0;0;0;4;4;4;2;2;0;0;0;0;0;0;c5
16;3;5;5;3;5;5;0;0;3;3,5;0;4;0;0;0;1;4;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;c6
17;3;4;5;1;1;5;1;5;4;0,5;0;0,5;1;5;5;0;1;0;5;0;0;0;5;0,5;0;0;0;0;0;0;0;0;0;c7
18;5;5;5;5;3;5;0;2;5;4,5;0;3,5;0;0;4;0;0;0;0;0;0;0;0;3,5;0;2;2;4;0,5;3;5;3;0;c8
19;0;5;5;3;1,5;5;0;3;3;4;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;c9
20;3;0;2;0;0;0;0;3;0;2;0;2;0;0;0;0;1;0;0;0;0;2;1;1,5;1;1;1;5;0;0;0;0;0;c10
21;5;5;5;5;5;5;0;1;5;5;0;4;3,5;5;5;0;0;0;0;0;0;0;4;5;5;5;5;3;3;5;5;2;1;c1
22;5;5;1;2;4;0;0;1;0;2;0;4,5;3,5;4;0;1;4;0;3;0;0;0;5;3;0;0;0;5;1;0;0;0;0;c2
23;1;5;5;5;2;5;0;4;2;3;5;4;0;0;2;0;0;0;0;0;0;0;0;0;2;;;;;;;;;c3
24;5;5;2;5;0,5;0;5;2;0;0;2;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;c4
