PCSI;An1.C1;Analyser le cahier des charges (diagramme des exigences, diagramme des cas d’utilisation);CdC (req, uc);1
PCSI;An1.C2;Analyser l'impact environnemental;Impact environnemental;1
PCSI;An2.C3;Analuser les frontières de l’étude;Frontière de l’étude;2
PCSI;An2.C4;Analyser le milieu extérieur;Milieu extérieur;2
PCSI;An2.C5;Analyser les flux échangés;Flux échangés;2
PCSI;An3.C1;Analyser l'architecture fonctionnelle et structurelle;Architectures fonctionnelle et structurelle;1
PCSI;An3.C2;Analyser le diagramme de définition de blocs;Diagrammes de définition de blocs;1
PCSI;An3.C3;Analyser la chaîne directe;Chaîne directe;1
PCSI;An3.C4;Analyser le système asservi;Dystème asservi;1
PCSI;An3.C5;Analyser la commande;Commande;1
PCSI;An3.C6;Analyser la chaîne d’information et d'énergie;Chaîne d’information et d'énergie;1
PCSI;An3.C7;Analyser le diagramme de blocs internes;Diagramme de blocs internes;1
PCSI;An3.C8;Analyser le diagramme paramétrique;Diagramme paramétrique;1
PCSI;An3.C9;Analyser le système à événements discrets;Systèmes à événements discrets;2
PCSI;An3.C10;Analyser le diagramme de séquences;Diagramme de séquences;2
PCSI;An3.C11;Analyser le diagramme d’états;Diagramme d’états;2
PSI;An3.C12;Analyser la réversibilité d’un constituant dans une chaîne d’énergie;Réversibilité de la chaîne d’énergie;3
PSI;An3.C13;Analyser la source;Source;3
PSI;An3.C14;Analyser le modulateur;Modulateur;3
PSI;An3.C15;Analyser l'actionneur;Actionneur;3
PSI;An3.C16;Analyser la chaîne de transmission;Chaîne de transmission;3
PSI;An4.C1;Identifier des écarts;Identification des écarts;4
PSI;An4.C2;Quantifier des écarts;Quantification des écarts;4
PSI;An4.C3;Interpréter des écarts obtenus;Interprétation des écarts obtenus;4
PCSI;An5.C1;Analyser les grandeurs utilisées (unités du système international, homogénéité des grandeurs);Grandeurs utilisées ;1
PSI;An5.C2;Analyser les ordres de grandeur;Ordres de grandeur;4
PCSI;Com1.C1;Informations techniques;Informations techniques;2
PSI;Com1.C2;Schémas cinématique, électrique, hydraulique et pneumatique;Schémas cinématique, électrique, hydraulique et pneumatique;4
PCSI;Com1.C3;Langage SysML;Langage SysML;2
PCSI;Com2.C1;Outils de communication;Outils de communication;2
PSI;Com2.C2;Communiquer en utilisant un langage technique;Langage technique;4
PCSI;Com2.C3;Schémas cinématique, électrique;Schémas cinématique, électrique;2
PSI;Con.C1;Concevoir l'architecture fonctionnelle et structurelle;Architecture fonctionnelle et structurelle;4
PSI;Con.C2;Concevoir la correction d’un système asservi;Correction d’un système asservi;4
PCSI;Con.C3;Concevoir la commande d'un système logique;Système logique;2
PCSI;Con.C4;Concevoir la commande d'un système à événements discrets;Systèmes à événements discrets;2
PCSI;Con.C5;Concevoir en utilisant une structure algorithmique;Structures algorithmiques;2
PSI;Exp1.C1;Repérer les constituants de la chaîne d’énergie;Chaîne d’énergie;4
PCSI;Exp1.C2;Repérer les constituants de la chaîne d’information;Chaîne d’information;1
PCSI;Exp1.C3;Repérér et modifier les paramètres influents;Paramètres influents;1
PCSI;Exp2.C1;Précoir le comportement d’un système;Modèles de comportement d’un système;2
PSI;Exp2.C2;Définir et mettre en œuvre un protocole expérimental;Protocoles expérimentaux;4
PSI;Exp2.C3;Mettre en œuvre la chaîne d’acquisition;Chaîne d’acquisition;4
PSI;Exp2.C4;Filtrage;Filtrage;4
PSI;Exp2.C5;Échantillonnage;Échantillonnage;4
PSI;Exp2.C6;Quantification;Quantification;4
PSI;Exp3.C1;Règles de sécurité élémentaires;Règles de sécurité élémentaires;4
PSI;Exp3.C2;Justifier la chaîne d'acquisition;Chaîne d'acquisition;4
PSI;Exp3.C3;Fréquence d’échantillonnage;Fréquence d’échantillonnage;4
PSI;Exp3.C4;Paramètres de configuration du système;Paramètres de configuration du système;4
PSI;Exp3.C5;Réversibilité de la chaîne d’énergie;Réversibilité de la chaîne d’énergie;4
PSI;Exp3.C6;Source, modulateur, actionneur, chaîne de transmission;Source, modulateur, actionneur, chaîne de transmission;4
PSI;Exp3.C7;Routines, procédures ;Routines, procédures ;4
PSI;Exp3.C8;Systèmes logiques à événements discrets;Systèmes logiques à événements discrets;4
PCSI;Exp3.C9;Modèles de comportement;Modèles de comportement;2
PCSI;Exp3.C10;Réaliser l'identification temporelle d’un modèle de comportement;Identification temporelle d’un modèle de comportement;1
PCSI;Exp3.C11;Réaliser l'identification fréquentielle d’un modèle de comportement;Identification fréquentielle d’un modèle de comportement;1
PCSI;Mod1.C1;Caractéristiques des grandeurs physiques (nature physique, caractéristiques fréquentielles, caractéristiques temporelles);Caractéristiques des grandeurs physiques;2
PCSI;Mod1.C2;Flux de matière;Flux de matière;2
PCSI;Mod1.C3;Flux d’information;Flux d’information;2
PSI;Mod1.C4;Énergie;Énergie;3
PSI;Mod1.C5;Puissance;Puissance;3
PSI;Mod1.C6;Rendement;Rendement;3
